,url
74,b'https://banen.monsterboard.nl/medior-bi-analyst-data-scientist-tilburg-nb-nl-michael-page-international-netherlands-sa/221689739'
75,b'https://banen.monsterboard.nl/medior-data-analist-amsterdam-nl-yourprofessionals/e255a9f4-217d-4936-8b12-4b2665941d2c'
76,b'https://banen.monsterboard.nl/microbiologisch-analist-levensmiddelen-mlo-hlo-woerden-ut-nl-professionals-in-food/222437257'
77,b'https://banen.monsterboard.nl/omnichannel-data-analyst-amsterdam-nl-pvh-corp/e224b705-36e3-4cad-8525-9c8ad6c30419'
78,b'https://banen.monsterboard.nl/performance-management-analyst-utrecht-area-utrecht-ut-nl-abroad-experience-recruitment-agency/222112995'
79,b'https://banen.monsterboard.nl/postdoctoral-researcher-in-gravitational-wave-data-analysis-searches-1-0-fte-utrecht-nl-universiteit-utrecht/7b12c64a-8b5d-443d-b9be-457970f8c206'
80,b'https://banen.monsterboard.nl/pricing-data-senior-analyst-multiple-working-locations-in-europe-or-us-schiphol-nh-nl-cargill/222382561'
81,b'https://banen.monsterboard.nl/rapportage-specialist-data-analist-interim-eindhoven-nb-nl-sos-international/93436c49-3914-4e3a-b5d2-c90dca1bac4c'
82,b'https://banen.monsterboard.nl/research-analyst-intern-as-of-january-amsterdam-nh-nl-newzoo-hq/a0f00581-4d92-4554-9976-ad8e22e7b8b3'
83,b'https://banen.monsterboard.nl/rsm-\xe2\x80\xa2-analyst-business-consulting-services-amsterdam-nh-nl-aureus-iproma/82ee7de2-45fd-4c70-8249-c4b529235a08'
84,b'https://banen.monsterboard.nl/senior-analyst-compensation-benefits-amsterdam-nl-pvh-corp/605e845f-5d50-4d03-bd17-d2d2021ea3f8'
85,b'https://banen.monsterboard.nl/senior-business-analist-geo-amsterdam-nh-nl-red-data-b-v/7dbc295e-fa44-45b5-942b-fb4758551f33'
86,b'https://banen.monsterboard.nl/senior-business-analyst-veghel-nb-nl-vanderlande-industries-nederland-bv/c85469d3-9f67-4933-b344-12986ccc6d1f'
87,b'https://banen.monsterboard.nl/senior-master-data-analyst-ecommerce-amsterdam-nl-pvh-corp/1e1bac83-0989-4967-9a44-7761c7737a9f'
88,b'https://banen.monsterboard.nl/senior-qrm-business-analyst-alm-utrecht-ut-nl-rabobank/ef23c68a-b4ac-4b3c-b3e6-662a94bacc74'
89,b'https://banen.monsterboard.nl/specialist-analist-interne-beheersing-en-grc-den-haag-nl-p/7e85def4-155b-49fd-9e50-3fcdc62d41cf'
